
==================================
>> SD Card is successfully init at 698
==================================

[INFO] main::setup() | System restarted at 759
[DEBUG] es_watchdog::isResetByWatchdog() | The last reset is caused by EXTERNAL
[INFO] main::setup() | The reset was caused by External Reset
[INFO] main::setup() | Initialization DONE, jumping to main loop
[INFO] main::loop() | Device wakeup, now_timestamp = 3004
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978308944
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 3004; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 3708
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978308955
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 3708; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 4408
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978308965
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 4408; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 5109
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978308975
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 5109; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 5816
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978308985
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 5816; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 6523
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978308995
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 6523; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 7224
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309005
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 7224; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 7931
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309015
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 7931; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 8632
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309025
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 8632; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 9339
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309035
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 9339; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 10071
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309045
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 10071; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 10782
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309055
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 10782; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 11584
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309065
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 11584; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 12431
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309075
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 12431; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 13212
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309085
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 13212; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
